| name | position | department | school | degrees | research_interests |
| Tai Chi-shing, William | ['Associate Editor', 'Frontiers in Pharmacology', 'Professor', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | ['Representative Publications', 'University of Hong Kong'] | ['Lee MML', 'Chan BD', 'Wong WY', 'Leung TW', 'Qu Z', 'Huang J', 'Zhu L', 'Lee CS', 'Chen S and Tai WCS \\* (2020) Synthesis and Evaluation of Novel Anticancer Compounds Derived from the Natural Product Brevilin A', 'ACS Omega', '5 (24):14586–14596 Lee MML', 'Chan MS', 'Lin Y', 'Mok DK', 'Chen S and Tai WCS \\* (2020) Anti-cancer Activity of Centipeda minima Extract in Triple Negative Breast Cancer via Inhibition of AKT', 'NF-κB', 'and STAT3 Signaling Pathways', 'PhD in Chemistry'] | ['Cancer Therapy', 'Probiotics', 'Cellular Immunotherapy', 'Drug Development', 'Inflammatory Bowel Disease', 'Oncology', 'Microbial Pathogenesis', 'Inflammation', 'Inflammatory disease', 'proteomics', 'Bioactive alkyne-tagged derivative of Neolaxiflorin L', 'organic chemistry', 'natural products', 'drug discovery', 'Proteomic profiling', 'dextran sulfate sodium', 'ulcerative colitis', 'macrophages', 'Gynostemma pentaphyllum saponins', 'anti-cancer effect'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wong Wing-leung | ['Assistant Professor', 'Chemical Communications', 'Sensors and Actuators B: Chemical', 'Nucleic Acids Research', 'Unknown'] | ['Department of Applied Biology and Chemical Technology'] | ['Bachelor of Science in Chemical Technology', 'The Hong Kong Polytechnic University', 'Journal Cover', 'Unknown'] | ['Doctor of Philosophy', 'City University of Hong Kong', 'PhD', 'Unknown'] | ['development of novel and small-sized ligands that can function as fluorescent biosensors and stabilizers targeting the noncanonical nucleic acid secondary structure of DNA and RNA G-quadruplexes', 'and potent inhibitor targeting bacterial protein targets including NDM-1 and FtsZ for chemical biology study and drug discovery', 'Chemical Communications', 'Sensors and Actuators B: Chemical', 'Nucleic Acids Research', 'molecular recognition and imaging of human telomeric G-quadruplex DNA in live cells', 'ACS Chemical Biology', '2016', '11', '1019–1029', '<https://doi', 'org/10', '1021/acschembio', '5b00987>'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Yu Xiulian | ['Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['Nankai University', 'European Molecular Biology Laboratory'] | ['Master of Science', 'Doctor of Science'] | ['host-pathogen interaction', 'pore-forming proteins', 'cryoEM', 'cryoET', 'and subtomogram averaging'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Limin | ['Assistant Professor', 'Lecturer', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The Chinese University of Hong Kong'] | ['Doctor of Philosophy', 'PhD'] | ['synthetic methodology', 'structure characterization and property elucidation of (1) metallo-polymers', '(2) atomically-precise metal nanoclusters', 'Metallo-polymers', 'Atomically-precise metal nanoclusters', 'Inorganic Chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Limin Zhang | [] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Y.-Z. Ma | ['L-M', 'Zhang', 'G', 'Peng', 'C', '-J', 'Zhao', 'R', '-T', 'Dong', '-F', 'Yang', 'H', 'Deng'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['CrystEngComm 2014', '16', '667–683'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Huang Yanran, Wenny | ['Research Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['Hong Kong Baptist University'] | ['Bachelor of Science (Honours) in Analytical and Testing Sciences', 'Doctor of Philosophy'] | ['applying high-resolution mass spectrometry to track known and unknown chemicals in human biological samples by non-targeted analysis (NTA) and discover their effects on health and disease', 'UV filters', 'zebrafish embryo development'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Huang Yanran | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Lee Man-yuen, Leo | ['Research Assistant Professor', 'Department of Applied Biology and Chemical Technology', 'Teaching Area Experimental Approach To Molecular Biology And Biochemistry Human Physiology'] | ['Department of Applied Biology and Chemical Technology'] | ['The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong', 'Hong Kong University'] | ['Bachelor of Science in Applied Biology with Biotechnology', 'Master of Philosophy', 'Doctor of Philosophy', 'PhD in Biochemistry'] | ['development of drugs for prevention and treatment of obesity-related metabolic disorders and cancer', 'and aging-related diseases', 'development of in utero therapeutic interventions to combat against the adverse effects of maternal diabetes and obesity on fetal development', 'Drug Development Metabolic Disorder Fetal Intervention'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Tao Peng | ['*', 'Integrating Asymmetric O-B-N Unit in Multi-Resonance Thermally Activated Delayed Fluorescence Emitters towards High-Performance Deep-Blue Organic Light-Emitting Diodes', 'Angew', 'Chem', 'Int', 'Ed', '2023', '62', 'e202218947', '*Unknown*'] | ['Department of Applied Biology and Chemical Technology'] | ['ACS Mater', 'Lett', '2023', 'Unknown'] | ['PhD', 'Unknown'] | ['Triplet-Triplet Annihilation-Based Materials', 'Electroluminescence', 'Isomer Engineering of Lepidine-Based Iridophosphors', 'Chemistry', 'Materials Science', 'Polymer Science', 'Phosphorescent Materials', 'Iridium(III) Complexes', 'Cyclometalated Phosphorescent Iridium(III) Complexes', 'Metallophosphors', 'Neutral Iridophosphors', 'Manganese(II) Complexes', 'Emerging Applications'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| [Huang,*] | ['Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['Adv', 'Funct', 'Mater', '2016'] | ['881'] | ['Facile Synthesis of Highly Efficient Lepidine-Based Phosphorescent Iridium(III) Complexes for Yellow and White Organic Light-Emitting Diodes'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wang Wenyi | ['Research Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong'] | ['PhD in Biotechnology'] | ['clinical application of biomedical materials', 'design and fabrication of transdermal drug delivery system', 'herbal therapy for atopic dermatitis clinical treatment', 'development of healthcare textile', 'patents', 'cationic polyelectrolyte complex', 'circular coloration technology', 'biosafety evaluation', 'poly(hexamethylene biguanide)', 'Kubelka-Munk equation', 'eco-friendly dyeing method', 'drug delivery systems', 'nanobiotechnology', 'biomaterials', 'traditional Chinese medicine'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wenyi Wang | [] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['antibacterial textile fabrics', 'transdermal drug delivery system', 'poloxamer-based hydrogel'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wang Yang | ['Research Assistant Professor', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['quantum dots', 'covalent organic frameworks', 'photo/electrochemical catalysis', 'water splitting', 'carbon dioxide reduction', 'photocathodes', 'hydrogen evolution', 'chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Yang Wang | ['Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['Peking University', 'Beijing', 'China'] | ['PhD in Chemical Engineering'] | ['nanotechnology', 'materials science', 'chemical engineering'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Wong Tsun-ting, Clarence | ['Research Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Wong Tsun-ting , Clarence | ['Representative Publications'] | ['Department of Applied Biology and Chemical Technology'] | ['US9752137B2', 'CN104877982B'] | ['Representative Publications'] | ['One-Pot Synthesis of a Cyclic Antimicrobial Peptide-Conjugated Phthalocyanine for Synergistic Chemo-Photodynamic Killing of Multidrug-Resistant Bacteria'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wong, C. H. | ['Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['University of Hong Kong'] | ['PhD'] | ['peptidic bradykinin B1 receptor antagonists'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Xu Linli | ['Two-Component High Thermal Conductivity and Electrical Conductivity Insulating Acrylic Structural Adhesive', 'Two-Dimensional Metallated Graphynes and their Applications', 'Nano-Cellulose Reinforced and Toughened Nylon-66 Composite', 'Efficient Halogen-Free Flame Retardant Composite', 'Halogen-Free Flame Retardant Polyimide Foam Material', '#', 'Department of Applied Biology and Chemical Technology', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['thermal conductivity', 'electrical conductivity', 'insulating acrylic structural adhesive', 'two-dimensional metallated graphynes', 'nano-cellulose reinforced and toughened nylon-66 composite', 'efficient halogen-free flame retardant composite', 'halogen-free flame retardant polyimide foam material', 'Molecular/Polymeric Metallaynes and Related Molecules: Solar Cell Materials and Devices', 'Coordination Chemistry Reviews', '2018', '373', '233 - 257', 'Energy Materials based on Metal Schiff base Complexes', '35', '180–198', 'Functional Organometallic Poly(arylene ethynylene)s: From Synthesis to Applications', 'Topics in Current Chemistry', '2017', '375(5)', '157–189', 'Core–Shell Structured Polyamide 66 Nanofibers with Enhanced Flame Retardancy', 'ACS Omega', '2 (6)', '2665–2671', 'polymer foam', 'flame retardancy', 'graphene oxide'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Linli Xu | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Miao | ['Research Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['design and synthesis of metallated photovoltaic materials including polymer donors and small-molecule acceptors', 'fabrication of organic photovoltaics', 'research on singlet and triplet exciton dynamics in active layers', 'Nano Energy'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Miao Zhang | [] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['ternary nonfullerene polymer solar cells'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Liping ZHOU | ['Department of Applied Biology and Chemical Technology', 'Research Assistant Professor'] | ['Department of Applied Biology and Chemical Technology', 'School of Optometry'] | ['Co-first author', 'The Hong Kong Polytechnic University'] | ['J Ginseng Res', 'J Endocr Soc', 'Front Pharmacol', 'PhD in Applied Biology and Chemical Technology'] | ['ginsenoside Rg1', 'prenylflavonoid Icariin', 'Danggui Buxue Tang', 'estrogen receptor signaling pathway', 'tissue-selective responses', 'bone protective effects', 'aging-related degenerative disorders', 'possible mechanisms involved'] |
